Category;Subcategory;Technologies name;parameter name;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_constr;crit_2_constr;crit_3_constr;ep_constr;agro_land_constr;urban_land_constr;hh_constr;ecosys_constr;rsc_constr;rcm_constr;einv_constr;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)];[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)];[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];[DALY];[beuro];[kt/y];[beuro/y];[km2a/y];[kt/y];[DALY];[beuro];[kt/y];[kt/y];[GWh/y];
Electricity;Electricity;Nuclear; NUCLEAR ;4845.73;102.930986;707.88;60;0.843906;0;1;0;5.925;772.7286835;3.614986858;38.15272;72.4490825;12.65495675;5.5562505;772.7286835;3.614986858;10.63130776;38.15272;615;
Electricity;Electricity;Combined cycle gas turbine; CCGT ;825.96;20.91888483;183.79;25;0.955769231;0;1;0;1.00E+15;973.6381707;4.554883579;0;0;0;0;973.6381707;4.554883579;0;0;615;
Electricity;Electricity;Amonia combined cycle gas turbine; CCGT_AMMONIA ;825.96;20.91888483;183.79;25;0.59;0;1;0;1.00E+15;1738.255197;8.176226051;85.411108;114.315208;7.5063232;11.3080374;1738.255197;8.176226051;13.71537921;85.411108;914;
Electricity;Electricity;Ultra-supercritical coal power plant; COAL_US ;2598.77;30.34193327;331.6;35;0.862792;0;1;0;0;1228.676364;6.196269981;85.411108;114.315208;7.5063232;11.3080374;1228.676364;6.196269981;13.71537921;85.411108;914;
Electricity;Electricity;Intagrated gasification combined cycle with coal; COAL_IGCC ;3351.65;49.99914413;331.6;35;0.850864;0;1;0;0;36718.05361;710.4072229;7941.004182;5960.926;578.1542909;254.3703818;36718.05361;710.4072229;818.2631213;7941.004182;89500;
Electricity;Electricity;Photovoltaic; PV ;1220.85;13.94222892;2081.43;25;1;0;1;0;59.2;7119.198603;26.86622684;446.6044086;1059.153254;61.04819468;43.14283022;7119.198603;26.86622684;139.2811896;446.6044086;8260;
Electricity;Electricity;Wind onshore; WIND_ONSHORE ;1141.96;13.28188235;622.85;30;1;0;1;0;10;1510.004596;7.858851814;198.75213;222.12703;54.724204;16.679873;1510.004596;7.858851814;30.16151422;198.75213;2610;
Electricity;Electricity;Wind offshore; WIND_OFFSHORE ;5357.3;37.27338462;622.85;30;1;0;1;0;6;4916.022808;24.33383853;593.2162105;859.6798421;105.9328895;1081.01114;4916.022808;24.33383853;101.6889777;593.2162105;4470;
Electricity;Electricity;Hydro river; HYDRO_RIVER ;5044.92;50.4447982;1262.82;40;1;0;1;0;0.115;3485.229116;17.27970995;178.538145;281.82395;22.964886;10.37290535;3485.229116;17.27970995;44.36032433;178.538145;2740;
