;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;;;;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[DALY];[beuro];[kt/y];[ktCO2-eq./GWh];[beuro/y];[km2a/y];[kt/y];[DALY];[beuro];[kt/y];[kt/y];[GWh/y];
Category;Subcategory;parameter name;avail;gwp_op;c_op;crit_1_op;crit_2_op;crit_3_op;CO2_op;ep_op;agro_land_op;urban_land_op;hh_op;ecosys_op;rsc_op;rcm_op;einv_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;32439.8697;0;0.104928;0.146;0.001;0.03;0;0.026;0.058;0.006;0.146;0.001;0.011;0.03;0.123;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.09404786;0.459;0.001;0.004;0.25;0.037;0.001;0.001;0.459;0.001;0.037;0.004;0.281;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.09105369;0.461;0.001;0.003;0.27;0.045;0.001;0.001;0.461;0.001;0.035;0.003;0.21;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10014511;0.185;0.001;0.003;0.25;0.047;0.165;0.001;0.185;0.001;0.005;0.003;0.316;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.10875568;0.638;0.006;0.012;0.27;0.259;0.603;0.01;0.638;0.006;0.008;0.012;0.432;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06868162;0.418;0.001;0.003;0.26;0.032;0.001;0;0.418;0.001;0.035;0.003;0.204;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.05329867;0.283;0.001;0.001;0.2;0.025;0;0;0.283;0.001;0.028;0.001;0.0608;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.10430636;0.296;0.001;0.014;0.2;0.026;0.011;0.001;0.296;0.001;0.003;0.014;0.269;
Renewable;Biomass;WOOD;23400;0.0118;0.03550648;0.023;0.002;0.001;0.39;0.112;0.861;0.008;0.023;0.002;0.001;0.001;0.0491;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00622964;0.21;0.001;0.002;0.39;0.053;0.151;0;0.21;0.001;0.001;0.002;0.0559;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.01814538;1.504;0.003;0.207;0.36;0.185;0.004;0.003;1.504;0.003;0.008;0.207;0.121;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.00387646;0.015;0;0;0;0.011;0;0;0.015;0;0;0;0.0434;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02497388;0.487;0.001;0;0.26;0.024;0;0;0.487;0.001;0.001;0;0.0577;
Non-renewable;Other non-renewable;H2;1.00E+15;0.33656258;0.0955067;0;0;0;0;0;0;0;0;0;0;0;0.083;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.10063038;0;0;0;0;0;0;0;0;0;0;0;0.579;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.11407418;0;0;0;0;0;0;0;0;0;0;0;0.065;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.11645027;0;0;0;0.24570329;0;0;0;0;0;0;0;0.0798;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.07089528;0;0;0;0;0;0;0;0;0;0;0;0.579;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.10014511;0;0;0;0.24570329;0;0;0;0;0;0;0;0.579;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
