Name	GWP_constr	GWP_op
TS_DHN_SEASONAL	96.569403	0.000000
TS_HIGH_TEMP	387.353369	0.000000
GAS_STORAGE	5.453239	0.000000
H2_STORAGE	0.000002	0.000000
DIESEL_STORAGE	0.000014	0.000000
GASOLINE_STORAGE	0.000014	0.000000
LFO_STORAGE	0.000015	0.000000
AMMONIA_STORAGE	0.000015	0.000000
METHANOL_STORAGE	0.000014	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000003	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	0.000004	0.000000
BIO_HYDROLYSIS	92.961904	0.000000
GASIFICATION_SNG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000003	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000001	0.000000
PYROLYSIS_TO_LFO	0.000001	0.000000
SMR	0.000005	0.000000
SYN_METHANATION	0.000001	0.000000
ELECTRICITY	0.000000	4502.603119
GASOLINE	0.000000	0.000021
DIESEL	0.000000	0.000073
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000185
GAS	0.000000	27092.256383
GAS_RE	0.000000	0.000000
WOOD	0.000000	276.120000
WET_BIOMASS	0.000000	459.020000
COAL	0.000000	0.000115
URANIUM	0.000000	0.000000
WASTE	0.000000	2670.000001
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000037
METHANOL	0.000000	0.000073
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
