;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;29180.97512;0.137657143;0.091196;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.086185811;0.25;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.083441947;0.27;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.107597667;0.25;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.116301868;0.27;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.062940093;0.26;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.047015491;0.2;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.113652788;0.2;
Renewable;Biomass;WOOD;23400;0.0118;0.033712218;0.39;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005914833;0.39;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.023711865;0.26;
Non-renewable;Other non-renewable;H2;1.00E+15;0.354722434;0.090447437;0;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.11303839;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.100626412;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.106715467;0.24570329;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.078180634;0;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.107597667;0.24570329;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
