Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 2										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 3										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 4										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 5										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 6										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 7										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 8										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 9										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 10										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 11										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 12										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 13										5.224280																																										-0.000000	-0.000006																																																					-0.000001	-5.224272																																																											0.000000	
 1 	 14										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 15										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 16										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 17										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 18										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 19										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 20										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 21										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 22										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 23										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 1 	 24										5.224280																																										-0.000001	-0.000006																																																					-0.000001	-5.224273																																																											0.000000	
 2 	 1										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 2										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 3										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 4										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 5										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 6										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 7										5.224280																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 8										5.224280																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 9										5.224280																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 10										5.224280																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 11										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 12										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 13										5.224269																																										-0.000003	-0.000005																																																					-0.000002	-5.224259																																																											0.000000	
 2 	 14										5.224269																																										-0.000003	-0.000005																																																					-0.000002	-5.224259																																																											0.000000	
 2 	 15										5.224260																																										-0.000002	-0.000005																																																					-0.000002	-5.224251																																																											0.000000	
 2 	 16										5.224269																																										-0.000003	-0.000005																																																					-0.000002	-5.224259																																																											0.000000	
 2 	 17										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 18										5.224279																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 19										5.224279																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 20										5.224279																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 21										5.224280																																										-0.000004	-0.000006																																																					-0.000002	-5.224268																																																											0.000000	
 2 	 22										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 23										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 2 	 24										5.224278																																										-0.000004	-0.000006																																																					-0.000002	-5.224267																																																											0.000000	
 3 	 1										5.224281																																										-0.000002	-0.000006																																																					-0.000001	-5.224272																																																											0.000000	
