Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																								0.047071													-0.047071																																																																																																																																	0.000000	
 1 	 2																								0.047071													-0.047071																																																																																																																																	0.000000	
 1 	 3																								0.047071													-0.047071																																																																																																																																	0.000000	
 1 	 4																								0.047067													-0.047067																																																																																																																																	0.000000	
 1 	 5																								0.047067													-0.047067																																																																																																																																	0.000000	
 1 	 6																								0.047067													-0.047067																																																																																																																																	0.000000	
 1 	 7																								0.047067													-0.047067																																																																																																																																	0.000000	
 1 	 8																								0.047063													-0.047063																																																																																																																																	0.000000	
 1 	 9																								0.047063													-0.047063																																																																																																																																	0.000000	
 1 	 10																								0.047063													-0.047063																																																																																																																																	0.000000	
 1 	 11																								0.047063													-0.047063																																																																																																																																	0.000000	
 1 	 12																								0.047061													-0.047061																																																																																																																																	0.000000	
 1 	 13																								0.047061													-0.047061																																																																																																																																	0.000000	
 1 	 14																								0.047061													-0.047061																																																																																																																																	0.000000	
 1 	 15																								0.047061													-0.047061																																																																																																																																	0.000000	
 1 	 16																								0.047057													-0.047057																																																																																																																																	0.000000	
 1 	 17																								0.047057													-0.047057																																																																																																																																	0.000000	
 1 	 18																								0.047057													-0.047057																																																																																																																																	0.000000	
 1 	 19																								0.047057													-0.047057																																																																																																																																	0.000000	
 1 	 20																								0.047054													-0.047054																																																																																																																																	0.000000	
 1 	 21																								0.047054													-0.047054																																																																																																																																	0.000000	
 1 	 22																								0.047054													-0.047054																																																																																																																																	0.000000	
 1 	 23																								0.047054													-0.047054																																																																																																																																	0.000000	
 1 	 24																								0.047051													-0.047051																																																																																																																																	0.000000	
 2 	 1																								0.035572													-0.035572																																																																																																																																	0.000000	
 2 	 2																								0.035596													-0.035596																																																																																																																																	0.000000	
 2 	 3																								0.035620													-0.035620																																																																																																																																	0.000000	
 2 	 4																								0.035647													-0.035647																																																																																																																																	0.000000	
 2 	 5																								0.035671													-0.035671																																																																																																																																	0.000000	
 2 	 6																								0.035695													-0.035695																																																																																																																																	0.000000	
 2 	 7																								0.035719													-0.035719																																																																																																																																	0.000000	
 2 	 8																								0.035745													-0.035745																																																																																																																																	0.000000	
 2 	 9																								0.035769													-0.035769																																																																																																																																	0.000000	
 2 	 10																								0.035793													-0.035793																																																																																																																																	0.000000	
 2 	 11																								0.035817													-0.035817																																																																																																																																	0.000000	
 2 	 12																								0.035845													-0.035845																																																																																																																																	0.000000	
 2 	 13																								0.035869													-0.035869																																																																																																																																	0.000000	
 2 	 14																								0.035891													-0.035891																																																																																																																																	0.000000	
 2 	 15																								0.035915													-0.035915																																																																																																																																	0.000000	
 2 	 16																								0.035943													-0.035943																																																																																																																																	0.000000	
 2 	 17																								0.035967													-0.035967																																																																																																																																	0.000000	
 2 	 18																								0.035991													-0.035991																																																																																																																																	0.000000	
 2 	 19																								0.036015													-0.036015																																																																																																																																	0.000000	
 2 	 20																								0.036042													-0.036042																																																																																																																																	0.000000	
 2 	 21																								0.036066													-0.036066																																																																																																																																	0.000000	
 2 	 22																								0.036090													-0.036090																																																																																																																																	0.000000	
 2 	 23																								0.036114													-0.036114																																																																																																																																	0.000000	
 2 	 24																								0.036140													-0.036140																																																																																																																																	0.000000	
 3 	 1																								0.035793													-0.035793																																																																																																																																	0.000000	
 3 	 2																								0.035779													-0.035779																																																																																																																																	0.000000	
 3 	 3																								0.035769													-0.035769																																																																																																																																	0.000000	
 3 	 4																								0.035757													-0.035757																																																																																																																																	0.000000	
 3 	 5																								0.035743													-0.035743																																																																																																																																	0.000000	
 3 	 6																								0.035729													-0.035729																																																																																																																																	0.000000	
 3 	 7																								0.035715													-0.035715																																																																																																																																	0.000000	
 3 	 8																								0.035701													-0.035701																																																																																																																																	0.000000	
 3 	 9																								0.035689													-0.035689																																																																																																																																	0.000000	
 3 	 10																								0.035679													-0.035679																																																																																																																																	0.000000	
 3 	 11																								0.035665													-0.035665																																																																																																																																	0.000000	
 3 	 12																								0.035651													-0.035651																																																																																																																																	0.000000	
 3 	 13																								0.035637													-0.035637																																																																																																																																	0.000000	
 3 	 14																								0.035623													-0.035623																																																																																																																																	0.000000	
 3 	 15																								0.035610													-0.035610																																																																																																																																	0.000000	
 3 	 16																								0.035596													-0.035596																																																																																																																																	0.000000	
